Name,\\pi3\LR09144901L%P2O5
Data Type,Float 32
Number of Values,15790
Time,Value,Value Attributes
18-Jun-2023 20:44:11.73288,16.10
18-Jun-2023 20:34:11.73288,16.10
18-Jun-2023 20:24:11.73288,16.10
18-Jun-2023 20:14:11.73288,16.10
18-Jun-2023 20:04:11.73288,16.10
18-Jun-2023 19:56:14.11308,15.80
18-Jun-2023 19:46:14.11308,15.80
18-Jun-2023 19:36:14.11308,15.80
18-Jun-2023 19:26:14.11308,15.80
18-Jun-2023 19:16:14.11308,15.80
18-Jun-2023 19:06:14.11308,15.80
18-Jun-2023 18:56:14.11308,15.80
18-Jun-2023 18:46:14.11308,15.80
18-Jun-2023 18:36:14.11308,15.80
18-Jun-2023 18:26:14.11308,15.80
18-Jun-2023 18:16:14.11308,15.80
18-Jun-2023 18:06:14.11308,15.80
18-Jun-2023 18:03:19.66762,15.85
18-Jun-2023 17:53:19.66762,15.85
18-Jun-2023 17:43:19.66762,15.85
18-Jun-2023 17:33:19.66762,15.85
18-Jun-2023 17:23:19.66762,15.85
18-Jun-2023 17:13:19.66762,15.85
18-Jun-2023 17:03:19.66762,15.85
18-Jun-2023 16:53:19.66762,15.85
18-Jun-2023 16:43:19.66762,15.85
18-Jun-2023 16:33:19.66762,15.85
18-Jun-2023 16:23:19.66762,15.85
18-Jun-2023 16:13:19.66762,15.85
18-Jun-2023 16:09:17.42381,16.20
18-Jun-2023 15:59:17.42381,16.20
18-Jun-2023 15:49:17.42381,16.20
18-Jun-2023 15:39:17.42381,16.20
18-Jun-2023 15:29:17.42381,16.20
18-Jun-2023 15:19:17.42381,16.20
18-Jun-2023 15:09:17.42381,16.20
18-Jun-2023 14:59:17.42381,16.20
18-Jun-2023 14:49:17.42381,16.20
18-Jun-2023 14:39:17.42381,16.20
18-Jun-2023 14:29:17.42381,16.20
18-Jun-2023 14:19:17.42381,16.20
18-Jun-2023 14:09:17.42381,16.20
18-Jun-2023 13:59:17.42381,16.20
18-Jun-2023 13:49:17.42381,16.20
18-Jun-2023 13:39:17.42381,16.20
18-Jun-2023 13:29:17.42381,16.20
18-Jun-2023 13:19:17.42381,16.20
18-Jun-2023 13:09:17.42381,16.20
18-Jun-2023 12:59:17.42381,16.20
18-Jun-2023 12:49:17.42381,16.20
18-Jun-2023 12:39:17.42381,16.20
18-Jun-2023 12:29:17.42381,16.20
18-Jun-2023 12:19:17.42381,16.20
18-Jun-2023 12:09:17.42381,16.20
18-Jun-2023 11:59:17.42381,16.20
18-Jun-2023 11:50:52.18958,15.50
18-Jun-2023 11:40:52.18958,15.50
18-Jun-2023 11:30:52.18958,15.50
18-Jun-2023 11:20:52.18958,15.50
18-Jun-2023 11:10:52.18958,15.50
18-Jun-2023 11:00:52.18958,15.50
18-Jun-2023 10:50:52.18958,15.50
18-Jun-2023 10:40:52.18958,15.50
18-Jun-2023 10:30:52.18958,15.50
18-Jun-2023 10:20:52.18958,15.50
18-Jun-2023 10:10:52.18958,15.50
18-Jun-2023 10:00:52.18958,15.50
18-Jun-2023 09:50:52.18958,15.50
18-Jun-2023 09:40:52.18958,15.50
18-Jun-2023 09:30:52.18958,15.50
18-Jun-2023 09:20:52.18958,15.50
18-Jun-2023 09:10:52.18958,15.50
18-Jun-2023 09:00:52.18958,15.50
18-Jun-2023 08:56:28.36255,15.62
18-Jun-2023 08:46:28.36255,15.62
18-Jun-2023 08:36:28.36255,15.62
18-Jun-2023 08:26:28.36255,15.62
18-Jun-2023 08:16:28.36255,15.62
18-Jun-2023 08:06:28.36255,15.62
18-Jun-2023 07:56:28.36255,15.62
18-Jun-2023 07:46:28.36255,15.62
18-Jun-2023 07:36:28.36255,15.62
18-Jun-2023 07:26:28.36255,15.62
18-Jun-2023 07:16:28.36255,15.62
18-Jun-2023 07:06:28.36255,15.62
18-Jun-2023 06:56:28.36255,15.62
18-Jun-2023 06:46:28.36255,15.62
18-Jun-2023 06:36:28.36255,15.62
18-Jun-2023 06:26:28.36255,15.62
18-Jun-2023 06:17:11.67447,15.60
18-Jun-2023 06:07:11.67447,15.60
18-Jun-2023 05:57:11.67447,15.60
18-Jun-2023 05:47:11.67447,15.60
18-Jun-2023 05:37:11.67447,15.60
18-Jun-2023 05:27:11.67447,15.60
18-Jun-2023 05:17:11.67447,15.60
18-Jun-2023 05:07:11.67447,15.60
18-Jun-2023 04:57:11.67447,15.60
18-Jun-2023 04:47:11.67447,15.60
18-Jun-2023 04:37:11.67447,15.60
18-Jun-2023 04:27:11.67447,15.60
18-Jun-2023 04:17:11.67447,15.60
18-Jun-2023 04:07:11.67447,15.60
18-Jun-2023 03:57:11.67447,15.60
18-Jun-2023 03:47:11.67447,15.60
18-Jun-2023 03:37:11.67447,15.60
18-Jun-2023 03:27:11.67447,15.60
18-Jun-2023 03:17:11.67447,15.60
18-Jun-2023 03:07:11.67447,15.60
18-Jun-2023 02:57:11.67447,15.60
18-Jun-2023 02:47:11.67447,15.60
18-Jun-2023 02:37:11.67447,15.60
18-Jun-2023 02:27:11.67447,15.60
18-Jun-2023 02:17:11.67447,15.60
18-Jun-2023 02:07:11.67447,15.60
18-Jun-2023 01:57:11.67447,15.60
18-Jun-2023 01:47:11.67447,15.60
18-Jun-2023 01:37:11.67447,15.60
18-Jun-2023 01:30:20.61258,15.67
18-Jun-2023 01:20:20.61258,15.67
18-Jun-2023 01:10:20.61258,15.67
18-Jun-2023 01:00:20.61258,15.67
18-Jun-2023 00:50:20.61258,15.67
18-Jun-2023 00:40:20.61258,15.67
18-Jun-2023 00:30:20.61258,15.67
18-Jun-2023 00:20:20.61258,15.67
18-Jun-2023 00:10:20.61258,15.67
18-Jun-2023 00:09:28.26888,15.75
17-Jun-2023 23:59:28.26888,15.75
