ts,P2O5,SO4,density,Cl,x,y,SO4_m,SO4_s,average,R(K),R(SO4)
16/05/2024 05:34,16.79,4.35,1.302,40852,52.2,28.9,0.36,0.4,0.37675,52.65063502,28.89214028
15/05/2024 23:34,16.7,4.45,1.299,46478,53,27.8,0.36,0.4,0.37675,53.45433004,27.76504221
15/05/2024 16:04,16.3,4.25,1.297,37623,54.4,28.9,0.36,0.4,0.37675,53.93044001,28.89214028
15/05/2024 10:04,16.3,4.25,1.296,41013,54.2,27.8,0.38,0.392,0.37675,55.698121,27.81304876
15/05/2024 03:54,16.45,4.15,1.301,41028,52.8,27.6,0.38,0.392,0.38375,52.92794203,27.58857143
14/05/2024 23:34,16.35,4.2,1.296,41071,53.8,27,0.38,0.392,0.38375,53.44842815,26.99619772
14/05/2024 20:14,16.7,4.25,1.303,39824,51.7,27.6,0.38,0.392,0.38375,51.96335331,27.59578012
14/05/2024 08:04,16.85,4.15,1.309,39976,49.9,27.1,0.38,0.392,0.38375,50.75858845,27.05428789
14/05/2024 03:54,16.7,4.05,1.309,40136,49.8,26.8,0.38,0.392,,49.26488463,26.76081922
13/05/2024 23:34,17,4.15,1.31,40849,50.5,26.2,0.38,0.392,,49.92769461,26.17064846
13/05/2024 19:54,18.69,4,1.306,37281,50.1,26.5,0.38,0.392,,49.83399601,26.52950975
13/05/2024 03:44,16.1,4.05,1.293,37111,55,26.8,0.438,0.473,0.4005,54.57514796,26.75207234
12/05/2024 23:44,16,4.25,1.292,34259,55.6,27.1,0.438,0.473,0.4005,55.57183633,27.1184043
12/05/2024 19:44,16.2,4.1,1.294,35520,55.4,28.3,0.438,0.473,0.4005,55.26816174,28.3346636
12/05/2024 16:24,16.4,4.15,1.286,39427,56.5,27.2,0.438,0.473,0.4005,58.24796252,27.17766782
12/05/2024 11:34,16.35,4.05,1.302,39568,54.1,28.2,0.461,0.484,0.4005,52.53131829,27.23575357
12/05/2024 08:44,16.4,4.35,1.301,39186,54.1,28.2,0.461,0.484,0.4005,52.63432748,26.81493915
11/05/2024 11:34,16.1,4.25,1.296,39238,54,28,0.418,0.38,0.46125,54.89713879,27.96848621
