Name,\\pi3\MKP_LAB449SO4%,
Data Type,Float 32,
Number of Values,15311,
Time,Value,Value Attributes
14/01/2023 07:20:09.0,4.45,
14/01/2023 07:10:09.0,4.45,
14/01/2023 07:00:09.0,4.45,
14/01/2023 06:50:09.0,4.45,
14/01/2023 06:40:09.0,4.45,
14/01/2023 06:30:09.0,4.45,
14/01/2023 06:20:09.0,4.45,
14/01/2023 06:10:09.0,4.45,
14/01/2023 06:00:09.0,4.45,
14/01/2023 05:50:09.0,4.45,
14/01/2023 05:40:09.0,4.45,
14/01/2023 05:30:09.0,4.45,
14/01/2023 05:20:09.0,4.45,
14/01/2023 05:10:09.0,4.45,
14/01/2023 05:00:09.0,4.45,
14/01/2023 04:50:09.0,4.45,
14/01/2023 04:40:09.0,4.45,
14/01/2023 04:30:09.0,4.45,
14/01/2023 04:20:09.0,4.45,
14/01/2023 04:10:09.0,4.45,
14/01/2023 04:00:09.0,4.45,
14/01/2023 03:50:09.0,4.45,
14/01/2023 03:40:09.0,4.45,
14/01/2023 03:30:09.0,4.45,
14/01/2023 03:20:09.0,4.45,
14/01/2023 03:10:09.0,4.45,
14/01/2023 03:00:09.0,4.45,
14/01/2023 02:50:09.0,4.45,
14/01/2023 02:40:09.0,4.45,
14/01/2023 02:30:09.0,4.45,
14/01/2023 02:20:09.0,4.45,
14/01/2023 02:10:09.0,4.45,
14/01/2023 02:00:09.0,4.45,
14/01/2023 01:50:09.0,4.45,
14/01/2023 01:40:09.0,4.45,
14/01/2023 01:30:09.0,4.45,
14/01/2023 01:20:09.0,4.45,
14/01/2023 01:10:09.0,4.45,
14/01/2023 01:00:09.0,4.45,
14/01/2023 00:50:09.0,4.45,
14/01/2023 00:40:09.0,4.45,
14/01/2023 00:30:09.0,4.45,
14/01/2023 00:20:09.0,4.45,
14/01/2023 00:10:09.0,4.45,
14/01/2023 00:00:09.0,4.45,
13/01/2023 23:50:09.0,4.45,
13/01/2023 23:40:09.0,4.45,
13/01/2023 23:30:09.0,4.45,
13/01/2023 23:20:09.0,4.45,
13/01/2023 23:10:09.0,4.45,
13/01/2023 23:00:09.0,4.45,
13/01/2023 22:50:09.0,4.45,
13/01/2023 22:40:09.0,4.45,
13/01/2023 22:30:09.0,4.45,
13/01/2023 22:20:09.0,4.45,
13/01/2023 22:10:09.0,4.45,
13/01/2023 22:00:09.0,4.45,
13/01/2023 21:50:09.0,4.45,
13/01/2023 21:40:09.0,4.45,
13/01/2023 21:30:09.0,4.45,
13/01/2023 21:20:09.0,4.45,
13/01/2023 21:10:09.0,4.45,
13/01/2023 21:00:09.0,4.45,
13/01/2023 20:50:09.0,4.45,
13/01/2023 20:40:09.0,4.45,
13/01/2023 20:30:09.0,4.45,
13/01/2023 20:20:09.0,4.45,
13/01/2023 20:10:09.0,4.45,
13/01/2023 20:00:09.0,4.45,
13/01/2023 19:50:09.0,4.45,
13/01/2023 19:40:09.0,4.45,
13/01/2023 19:30:09.0,4.45,
13/01/2023 19:20:09.0,4.45,
13/01/2023 19:10:09.0,4.45,
13/01/2023 19:00:09.0,4.45,
13/01/2023 18:50:09.0,4.45,
13/01/2023 18:40:09.0,4.45,
13/01/2023 18:30:09.0,4.45,
13/01/2023 18:20:09.0,4.45,
13/01/2023 18:10:09.0,4.45,
13/01/2023 18:00:09.0,4.45,
13/01/2023 17:50:09.0,4.45,
13/01/2023 17:40:09.0,4.45,
13/01/2023 17:30:09.0,4.45,
13/01/2023 17:20:09.0,4.45,
13/01/2023 17:10:09.0,4.45,
