Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
06/10/2023 23:43:45.575,,,1.0538
06/10/2023 23:39:58.968,,4.45,
06/10/2023 23:38:22.976,,,1.2509
06/10/2023 23:37:06.489,,,1.2525
06/10/2023 23:33:50.211,15.3,,
06/10/2023 23:31:34.654,,,1.251
06/10/2023 23:29:58.968,,4.45,
06/10/2023 23:28:38.124,,,1.2524
06/10/2023 23:25:28.259,,,1.2509
06/10/2023 23:24:01.552,,,1.259
06/10/2023 23:23:50.211,15.3,,
06/10/2023 23:20:40.416,,,1.2531
06/10/2023 23:19:58.968,,4.45,
06/10/2023 23:15:44.318,,,1.2547
06/10/2023 23:13:50.211,15.3,,
06/10/2023 23:09:58.968,,4.45,
06/10/2023 23:08:10.061,,,1.2576
06/10/2023 23:05:21.545,,,1.2514
06/10/2023 23:03:50.211,15.3,,
06/10/2023 23:03:30.294,,,1.2568
06/10/2023 22:59:58.968,,4.45,
06/10/2023 22:58:28.955,,,1.2585
06/10/2023 22:53:50.211,15.3,,
06/10/2023 22:52:56.150,,,1.2542
06/10/2023 22:51:13.110,,,1.2552
06/10/2023 22:49:58.968,,4.45,
06/10/2023 22:47:17.201,,,1.2582
06/10/2023 22:43:50.211,15.3,,
06/10/2023 22:41:22.751,,,1.2554
06/10/2023 22:39:58.968,,4.45,
06/10/2023 22:38:53.609,,,1.2516
06/10/2023 22:37:53.339,,,1.2563
06/10/2023 22:33:50.211,15.3,,
06/10/2023 22:29:58.968,,4.45,
06/10/2023 22:27:02.042,,,1.2553
06/10/2023 22:23:50.211,15.3,,
06/10/2023 22:19:58.968,,4.45,
06/10/2023 22:19:26.480,,,1.2569
06/10/2023 22:13:50.211,15.3,,
06/10/2023 22:13:49.151,,,1.254
06/10/2023 22:09:58.968,,4.45,
06/10/2023 22:09:41.013,,,1.2556
06/10/2023 22:09:04.506,15.11,,
06/10/2023 21:59:58.968,,4.45,
06/10/2023 21:59:04.506,15.11,,
06/10/2023 21:56:38.519,,,1.2545
06/10/2023 21:49:58.968,,4.45,
06/10/2023 21:49:04.506,15.11,,
06/10/2023 21:47:19.846,,,1.253
06/10/2023 21:39:58.968,,4.45,
06/10/2023 21:39:04.506,15.11,,
06/10/2023 21:29:58.968,,4.45,
06/10/2023 21:29:04.506,15.11,,
06/10/2023 21:23:42.328,,,1.2565
06/10/2023 21:19:58.968,,4.45,
06/10/2023 21:19:04.506,15.11,,
06/10/2023 21:18:10.302,,,1.2503
06/10/2023 21:12:04.437,,,1.2564
06/10/2023 21:09:58.968,,4.45,
06/10/2023 21:09:04.506,15.11,,
06/10/2023 21:06:45.148,,,1.2502
06/10/2023 21:05:02.805,,,1.255
06/10/2023 20:59:58.968,,4.45,
06/10/2023 20:59:04.506,15.11,,
06/10/2023 20:52:30.272,,,1.2533
06/10/2023 20:49:58.968,,4.45,
06/10/2023 20:49:04.506,15.11,,
06/10/2023 20:42:03.135,,,1.2549
06/10/2023 20:40:46.492,,,1.2517
06/10/2023 20:39:58.968,,4.45,
06/10/2023 20:39:04.506,15.11,,
06/10/2023 20:36:06.549,,,1.255
06/10/2023 20:29:58.968,,4.45,
06/10/2023 20:29:04.506,15.11,,
06/10/2023 20:28:29.563,,,1.2554
06/10/2023 20:23:50.578,,,1.2509
06/10/2023 20:22:49.328,,,1.2521
06/10/2023 20:21:23.478,,,1.2519
06/10/2023 20:19:58.968,,4.45,
06/10/2023 20:19:04.506,15.11,,
06/10/2023 20:10:11.284,,,1.253
06/10/2023 20:09:58.968,,4.45,
06/10/2023 20:09:04.506,15.11,,
06/10/2023 20:02:10.683,,,1.2562
06/10/2023 19:59:58.968,,4.45,
06/10/2023 19:59:04.506,15.11,,
06/10/2023 19:59:03.688,,,1.252
06/10/2023 19:57:37.852,,,1.255
06/10/2023 19:49:58.968,,4.45,
06/10/2023 19:49:04.506,15.11,,
06/10/2023 19:46:56.430,,,1.2539
06/10/2023 19:39:58.968,,4.45,
06/10/2023 19:39:04.506,15.11,,
06/10/2023 19:37:02.835,15.13,,
06/10/2023 19:29:58.968,,4.45,
06/10/2023 19:27:02.835,15.13,,
06/10/2023 19:19:58.968,,4.45,
06/10/2023 19:17:02.835,15.13,,
06/10/2023 19:12:58.040,,,1.2578
06/10/2023 19:09:58.968,,4.45,
06/10/2023 19:09:56.219,,,1.2549
06/10/2023 19:07:02.835,15.13,,
06/10/2023 18:59:58.968,,4.45,
06/10/2023 18:57:02.835,15.13,,
06/10/2023 18:49:58.968,,4.45,
06/10/2023 18:47:02.835,15.13,,
06/10/2023 18:39:58.968,,4.45,
06/10/2023 18:38:17.755,,,1.2568
06/10/2023 18:37:02.835,15.13,,
06/10/2023 18:29:58.968,,4.45,
06/10/2023 18:28:03.018,,,1.0235
06/10/2023 18:27:02.835,15.13,,
06/10/2023 18:21:11.826,15.35,,
06/10/2023 18:19:58.968,,4.45,
06/10/2023 18:19:56.774,,,1.2571
06/10/2023 18:16:42.703,,,1.0728
06/10/2023 18:11:11.826,15.35,,
06/10/2023 18:09:58.968,,4.45,
06/10/2023 18:07:52.735,,,1.2583
06/10/2023 18:05:24.594,,,1.2552
06/10/2023 18:02:06.423,,,1.2567
06/10/2023 18:01:11.826,15.35,,
06/10/2023 17:59:58.968,,4.45,
06/10/2023 17:55:46.397,,,1.2599
06/10/2023 17:52:00.704,,,1.2572
06/10/2023 17:51:11.826,15.35,,
06/10/2023 17:49:58.968,,4.45,
06/10/2023 17:41:11.826,15.35,,
06/10/2023 17:39:58.968,,4.45,
06/10/2023 17:31:11.826,15.35,,
06/10/2023 17:29:58.968,,4.45,
06/10/2023 17:27:36.447,,,1.2585
06/10/2023 17:23:43.561,,,1.0033
06/10/2023 17:21:11.826,15.35,,
06/10/2023 17:20:42.639,,,1.2583
06/10/2023 17:19:58.968,,4.45,
06/10/2023 17:18:20.836,,,1.2585
06/10/2023 17:17:16.343,,,1.0015
06/10/2023 17:14:15.418,,,1.2545
06/10/2023 17:11:11.826,15.35,,
06/10/2023 17:09:58.968,,4.45,
06/10/2023 17:08:26.989,,,1.2573
06/10/2023 17:02:29.480,,,1.0378
06/10/2023 17:01:11.826,15.35,,
06/10/2023 16:59:58.968,,4.45,
06/10/2023 16:58:59.029,,,1.2586
06/10/2023 16:53:43.087,,,1.0347
06/10/2023 16:51:11.826,15.35,,
06/10/2023 16:50:41.210,,,1.2557
06/10/2023 16:49:58.968,,4.45,
06/10/2023 16:47:03.498,,,1.2574
06/10/2023 16:42:28.995,,,1.0424
06/10/2023 16:41:11.826,15.35,,
06/10/2023 16:39:58.968,,4.45,
06/10/2023 16:39:27.767,,,1.2573
06/10/2023 16:31:11.826,15.35,,
06/10/2023 16:29:58.968,,4.45,
06/10/2023 16:23:55.206,,,1.254
06/10/2023 16:21:40.380,,,1.2508
06/10/2023 16:21:11.826,15.35,,
06/10/2023 16:19:58.968,,4.45,
06/10/2023 16:19:43.420,15.2,,
06/10/2023 16:09:58.968,,4.45,
06/10/2023 16:09:43.420,15.2,,
06/10/2023 16:08:52.976,,,1.254
06/10/2023 15:59:58.968,,4.45,
06/10/2023 15:59:43.420,15.2,,
06/10/2023 15:49:58.968,,4.45,
06/10/2023 15:49:43.420,15.2,,
06/10/2023 15:39:58.968,,4.45,
06/10/2023 15:39:43.420,15.2,,
06/10/2023 15:29:58.968,,4.45,
06/10/2023 15:29:43.420,15.2,,
06/10/2023 15:29:03.140,,,1.2549
06/10/2023 15:25:34.169,,,1.0714
06/10/2023 15:22:32.021,,,1.2531
06/10/2023 15:19:58.968,,4.45,
06/10/2023 15:19:43.420,15.2,,
06/10/2023 15:19:34.638,,,1.2541
06/10/2023 15:09:58.968,,4.45,
06/10/2023 15:09:43.420,15.2,,
06/10/2023 15:09:23.003,,,1.251
06/10/2023 15:06:57.650,,,1.0065
06/10/2023 15:03:56.609,,,1.2555
06/10/2023 14:59:58.968,,4.45,
06/10/2023 14:59:43.420,15.2,,
06/10/2023 14:52:38.429,,,1.2515
06/10/2023 14:50:05.974,,,1.2492
06/10/2023 14:49:58.968,,4.45,
06/10/2023 14:49:43.420,15.2,,
06/10/2023 14:42:31.835,,,1.2523
06/10/2023 14:39:58.968,,4.45,
06/10/2023 14:39:43.420,15.2,,
06/10/2023 14:31:46.235,,,1.0079
06/10/2023 14:29:58.968,,4.45,
06/10/2023 14:29:43.420,15.2,,
06/10/2023 14:28:44.291,,,1.2529
06/10/2023 14:27:16.380,,,1.2479
06/10/2023 14:19:58.968,,4.45,
06/10/2023 14:19:43.420,15.2,,
06/10/2023 14:17:46.362,,,1.2544
06/10/2023 14:16:36.884,,,1.0949
06/10/2023 14:13:34.054,,,1.2495
06/10/2023 14:11:20.178,,,1.2528
06/10/2023 14:09:58.968,,4.45,
06/10/2023 14:09:43.420,15.2,,
06/10/2023 14:00:36.807,,,1.2493
06/10/2023 13:59:58.968,,4.45,
06/10/2023 13:59:43.420,15.2,,
06/10/2023 13:49:58.968,,4.45,
06/10/2023 13:49:56.741,,,1.2508
06/10/2023 13:49:43.420,15.2,,
06/10/2023 13:42:31.779,,,1.2523
06/10/2023 13:39:58.968,,4.45,
06/10/2023 13:39:43.420,15.2,,
06/10/2023 13:39:06.454,,,1.0317
06/10/2023 13:36:04.617,,,1.2514
06/10/2023 13:29:58.968,,4.45,
06/10/2023 13:29:43.420,15.2,,
06/10/2023 13:27:37.209,,,1.2506
06/10/2023 13:24:19.093,,,1.2458
06/10/2023 13:21:05.869,,,1.2517
06/10/2023 13:19:58.968,,4.45,
06/10/2023 13:19:43.420,15.2,,
06/10/2023 13:11:57.261,,,1.2495
06/10/2023 13:10:32.439,,,1.2494
06/10/2023 13:09:58.968,,4.45,
06/10/2023 13:09:43.420,15.2,,
06/10/2023 13:02:58.189,,,1.2529
06/10/2023 13:01:13.062,,,1.2514
06/10/2023 12:59:58.968,,4.45,
06/10/2023 12:59:43.420,15.2,,
06/10/2023 12:56:17.015,,,1.2532
06/10/2023 12:53:29.486,,,1.2483
06/10/2023 12:52:21.050,,,1.2522
06/10/2023 12:50:29.813,,,1.2499
06/10/2023 12:49:58.968,,4.45,
06/10/2023 12:49:43.420,15.2,,
06/10/2023 12:44:43.437,,,1.2516
06/10/2023 12:42:58.244,,,1.247
06/10/2023 12:41:33.540,,,1.2488
06/10/2023 12:39:58.968,,4.45,
06/10/2023 12:39:43.420,15.2,,
06/10/2023 12:39:11.481,,,1.2507
06/10/2023 12:29:58.968,,4.45,
06/10/2023 12:29:43.420,15.2,,
06/10/2023 12:28:15.619,,,1.2468
06/10/2023 12:25:32.133,,,1.2482
06/10/2023 12:19:58.968,,4.45,
06/10/2023 12:19:43.420,15.2,,
06/10/2023 12:14:38.650,,,1.2496
06/10/2023 12:09:58.968,,4.45,
06/10/2023 12:09:43.420,15.2,,
06/10/2023 12:05:18.875,,,1.253
06/10/2023 12:03:57.179,,,1.2484
06/10/2023 12:02:49.828,,,1.0055
06/10/2023 11:59:58.968,,4.45,
06/10/2023 11:59:43.420,15.2,,
06/10/2023 11:53:47.496,,,1.2523
06/10/2023 11:52:18.475,,,1.2516
06/10/2023 11:49:58.968,,4.45,
06/10/2023 11:49:43.420,15.2,,
06/10/2023 11:49:07.949,15.1,,
06/10/2023 11:42:36.251,,,1.2551
06/10/2023 11:39:58.968,,4.45,
06/10/2023 11:39:52.840,,,1.2504
06/10/2023 11:39:07.949,15.1,,
06/10/2023 11:38:52.597,,,1.2528
06/10/2023 11:29:58.968,,4.45,
06/10/2023 11:29:07.949,15.1,,
06/10/2023 11:19:58.968,,4.45,
06/10/2023 11:19:07.949,15.1,,
06/10/2023 11:09:58.968,,4.45,
06/10/2023 11:09:07.949,15.1,,
06/10/2023 10:59:58.968,,4.45,
06/10/2023 10:59:07.949,15.1,,
06/10/2023 10:58:37.366,,,1.2528
06/10/2023 10:57:25.871,,,1.2508
06/10/2023 10:55:05.866,,,1.2524
06/10/2023 10:53:43.116,,,1.008
06/10/2023 10:52:18.407,,,1.2533
06/10/2023 10:50:35.312,,,1.2508
06/10/2023 10:49:58.968,,4.45,
06/10/2023 10:49:12.576,,,1.253
06/10/2023 10:49:07.949,15.1,,
06/10/2023 10:47:08.963,,,1.249
06/10/2023 10:39:58.968,,4.45,
06/10/2023 10:39:07.949,15.1,,
06/10/2023 10:36:25.610,,,1.2485
06/10/2023 10:29:58.968,,4.45,
06/10/2023 10:29:12.692,,,1.2504
06/10/2023 10:29:07.949,15.1,,
06/10/2023 10:27:42.889,,,1.2468
06/10/2023 10:19:58.968,,4.45,
06/10/2023 10:19:45.054,,,1.2516
06/10/2023 10:19:07.949,15.1,,
06/10/2023 10:16:38.204,,,1.0486
06/10/2023 10:13:36.319,,,1.2524
06/10/2023 10:09:58.968,,4.45,
06/10/2023 10:09:07.949,15.1,,
06/10/2023 10:06:21.317,,,1.2468
06/10/2023 10:04:14.783,,,1.2498
06/10/2023 09:59:58.968,,4.45,
06/10/2023 09:59:07.949,15.1,,
06/10/2023 09:53:18.416,,,1.247
06/10/2023 09:50:37.087,,,1.2484
06/10/2023 09:49:58.968,,4.45,
06/10/2023 09:49:07.949,15.1,,
06/10/2023 09:41:31.499,,,1.2463
06/10/2023 09:39:58.968,,4.45,
06/10/2023 09:39:07.949,15.1,,
06/10/2023 09:29:58.968,,4.45,
06/10/2023 09:29:07.949,15.1,,
06/10/2023 09:25:46.113,,,1.248
06/10/2023 09:19:58.968,,4.45,
06/10/2023 09:19:07.949,15.1,,
06/10/2023 09:16:52.283,,,1.2499
06/10/2023 09:15:18.227,,,1.2466
06/10/2023 09:11:00.941,,,1.2484
06/10/2023 09:09:58.968,,4.45,
06/10/2023 09:09:07.949,15.1,,
06/10/2023 09:02:13.612,,,1.2453
06/10/2023 08:59:58.968,,4.45,
06/10/2023 08:59:55.566,,,1.2477
06/10/2023 08:59:07.949,15.1,,
06/10/2023 08:49:58.968,,4.45,
06/10/2023 08:49:07.949,15.1,,
06/10/2023 08:47:14.774,,,1.2461
06/10/2023 08:39:58.968,,4.45,
06/10/2023 08:39:07.949,15.1,,
06/10/2023 08:37:04.768,,,1.2469
06/10/2023 08:29:58.968,,4.45,
06/10/2023 08:29:07.949,15.1,,
06/10/2023 08:27:54.344,,,1.2446
06/10/2023 08:24:32.988,,,1.2461
06/10/2023 08:20:37.739,15.51,,
06/10/2023 08:19:58.968,,4.45,
06/10/2023 08:14:50.183,,,1.243
06/10/2023 08:10:37.739,15.51,,
06/10/2023 08:09:58.968,,4.45,
06/10/2023 08:09:00.550,,,1.2483
06/10/2023 08:00:37.739,15.51,,
06/10/2023 07:59:58.968,,4.45,
06/10/2023 07:50:37.739,15.51,,
06/10/2023 07:49:58.968,,4.45,
06/10/2023 07:48:28.663,,,1.2423
06/10/2023 07:40:37.739,15.51,,
06/10/2023 07:39:58.968,,4.45,
06/10/2023 07:30:37.739,15.51,,
06/10/2023 07:29:58.968,,4.45,
06/10/2023 07:26:45.826,,,1.2497
06/10/2023 07:20:37.739,15.51,,
06/10/2023 07:19:58.968,,4.45,
06/10/2023 07:10:37.739,15.51,,
06/10/2023 07:09:58.968,,4.45,
06/10/2023 07:00:37.739,15.51,,
06/10/2023 06:59:58.968,,4.45,
06/10/2023 06:50:37.739,15.51,,
06/10/2023 06:49:58.968,,4.45,
06/10/2023 06:46:48.233,15.39,,
06/10/2023 06:39:58.968,,4.45,
06/10/2023 06:36:48.233,15.39,,
06/10/2023 06:29:58.968,,4.45,
06/10/2023 06:26:48.233,15.39,,
06/10/2023 06:19:58.968,,4.45,
06/10/2023 06:16:48.233,15.39,,
06/10/2023 06:09:58.968,,4.45,
06/10/2023 06:06:48.233,15.39,,
06/10/2023 05:59:58.968,,4.45,
06/10/2023 05:56:48.233,15.39,,
06/10/2023 05:49:58.968,,4.45,
06/10/2023 05:46:48.233,15.39,,
06/10/2023 05:39:58.968,,4.45,
06/10/2023 05:36:48.233,15.39,,
06/10/2023 05:29:58.968,,4.45,
06/10/2023 05:26:48.233,15.39,,
06/10/2023 05:19:58.968,,4.45,
06/10/2023 05:16:48.233,15.39,,
06/10/2023 05:09:58.968,,4.45,
06/10/2023 05:06:48.233,15.39,,
06/10/2023 04:59:58.968,,4.45,
06/10/2023 04:56:48.233,15.39,,
06/10/2023 04:49:58.968,,4.45,
06/10/2023 04:46:48.233,15.39,,
06/10/2023 04:39:58.968,,4.45,
06/10/2023 04:36:48.233,15.39,,
06/10/2023 04:29:58.968,,4.45,
06/10/2023 04:26:48.233,15.39,,
06/10/2023 04:19:58.968,,4.45,
06/10/2023 04:16:48.233,15.39,,
06/10/2023 04:09:58.968,,4.45,
06/10/2023 04:06:48.233,15.39,,
06/10/2023 03:59:58.968,,4.45,
06/10/2023 03:56:48.233,15.39,,
06/10/2023 03:49:58.968,,4.45,
06/10/2023 03:46:48.233,15.39,,
06/10/2023 03:39:58.968,,4.45,
06/10/2023 03:36:48.233,15.39,,
06/10/2023 03:29:58.968,,4.45,
06/10/2023 03:26:48.233,15.39,,
06/10/2023 03:19:58.968,,4.45,
06/10/2023 03:16:48.233,15.39,,
06/10/2023 03:09:58.968,,4.45,
06/10/2023 03:06:48.233,15.39,,
06/10/2023 02:59:58.968,,4.45,
06/10/2023 02:56:48.233,15.39,,
06/10/2023 02:52:34.894,,,1.2497
06/10/2023 02:49:58.968,,4.45,
06/10/2023 02:46:48.233,15.39,,
06/10/2023 02:46:41.192,,,1.0308
06/10/2023 02:43:39.347,,,1.25
06/10/2023 02:39:58.968,,4.45,
06/10/2023 02:36:48.233,15.39,,
06/10/2023 02:29:58.968,,4.45,
06/10/2023 02:26:48.233,15.39,,
06/10/2023 02:26:10.870,15.38,,
06/10/2023 02:19:58.968,,4.45,
06/10/2023 02:16:10.870,15.38,,
06/10/2023 02:09:58.968,,4.45,
06/10/2023 02:06:10.870,15.38,,
06/10/2023 01:59:58.968,,4.45,
06/10/2023 01:56:10.870,15.38,,
06/10/2023 01:49:58.968,,4.45,
06/10/2023 01:46:10.870,15.38,,
06/10/2023 01:39:58.968,,4.45,
06/10/2023 01:36:10.870,15.38,,
06/10/2023 01:29:58.968,,4.45,
06/10/2023 01:26:10.870,15.38,,
06/10/2023 01:19:58.968,,4.45,
06/10/2023 01:16:10.870,15.38,,
06/10/2023 01:09:58.968,,4.45,
06/10/2023 01:06:10.870,15.38,,
06/10/2023 00:59:58.968,,4.45,
06/10/2023 00:56:10.870,15.38,,
06/10/2023 00:49:58.968,,4.45,
06/10/2023 00:46:10.870,15.38,,
06/10/2023 00:40:28.489,15.5,,
06/10/2023 00:39:58.968,,4.45,
06/10/2023 00:30:28.489,15.5,,
06/10/2023 00:29:58.968,,4.45,
06/10/2023 00:20:28.489,15.5,,
06/10/2023 00:19:58.968,,4.45,
06/10/2023 00:10:28.489,15.5,,
06/10/2023 00:09:58.968,,4.45,
06/10/2023 00:00:28.489,15.5,,
05/10/2023 23:59:58.968,,4.45,
05/10/2023 23:50:28.489,15.5,,
05/10/2023 23:49:58.968,,4.45,
05/10/2023 23:40:28.489,15.5,,
05/10/2023 23:39:58.968,,4.45,
05/10/2023 23:30:28.489,15.5,,
05/10/2023 23:29:58.968,,4.45,
05/10/2023 23:20:28.489,15.5,,
05/10/2023 23:19:58.968,,4.45,
05/10/2023 23:10:28.489,15.5,,
05/10/2023 23:09:58.968,,4.45,
05/10/2023 23:00:28.489,15.5,,
05/10/2023 22:59:58.968,,4.45,
05/10/2023 22:50:28.489,15.5,,
05/10/2023 22:49:58.968,,4.45,
05/10/2023 22:40:28.489,15.5,,
05/10/2023 22:39:58.968,,4.45,
05/10/2023 22:30:28.489,15.5,,
05/10/2023 22:29:58.968,,4.45,
05/10/2023 22:20:28.489,15.5,,
05/10/2023 22:19:58.968,,4.45,
05/10/2023 22:10:28.489,15.5,,
05/10/2023 22:09:58.968,,4.45,
05/10/2023 22:07:23.020,15.44,,
05/10/2023 21:59:58.968,,4.45,
05/10/2023 21:57:23.020,15.44,,
05/10/2023 21:56:36.615,,,1.2482
05/10/2023 21:55:04.670,,,1.0395
05/10/2023 21:49:58.968,,4.45,
05/10/2023 21:47:23.020,15.44,,
05/10/2023 21:46:46.154,,,1.2517
05/10/2023 21:39:58.968,,4.45,
05/10/2023 21:37:23.020,15.44,,
05/10/2023 21:29:58.968,,4.45,
05/10/2023 21:27:23.020,15.44,,
05/10/2023 21:26:35.260,,,1.252
05/10/2023 21:19:58.968,,4.45,
05/10/2023 21:17:23.020,15.44,,
05/10/2023 21:09:58.968,,4.45,
05/10/2023 21:07:23.020,15.44,,
05/10/2023 20:59:58.968,,4.45,
05/10/2023 20:57:23.020,15.44,,
05/10/2023 20:49:58.968,,4.45,
05/10/2023 20:47:23.020,15.44,,
05/10/2023 20:39:58.968,,4.45,
05/10/2023 20:38:46.036,15.8,,
05/10/2023 20:29:58.968,,4.45,
05/10/2023 20:28:46.036,15.8,,
05/10/2023 20:19:58.968,,4.45,
05/10/2023 20:18:46.036,15.8,,
05/10/2023 20:09:58.968,,4.45,
05/10/2023 20:08:46.036,15.8,,
05/10/2023 19:59:58.968,,4.45,
05/10/2023 19:58:46.036,15.8,,
05/10/2023 19:49:58.968,,4.45,
05/10/2023 19:48:46.036,15.8,,
05/10/2023 19:39:58.968,,4.45,
05/10/2023 19:38:46.036,15.8,,
05/10/2023 19:29:58.968,,4.45,
05/10/2023 19:28:46.036,15.8,,
05/10/2023 19:19:58.968,,4.45,
05/10/2023 19:18:46.036,15.8,,
05/10/2023 19:09:58.968,,4.45,
05/10/2023 19:08:46.036,15.8,,
05/10/2023 18:59:58.968,,4.45,
05/10/2023 18:58:46.036,15.8,,
05/10/2023 18:49:58.968,,4.45,
05/10/2023 18:48:46.036,15.8,,
05/10/2023 18:39:58.968,,4.45,
05/10/2023 18:38:46.036,15.8,,
05/10/2023 18:29:58.968,,4.45,
05/10/2023 18:28:46.036,15.8,,
05/10/2023 18:19:58.968,,4.45,
05/10/2023 18:18:46.036,15.8,,
05/10/2023 18:09:58.968,,4.45,
05/10/2023 18:08:46.036,15.8,,
05/10/2023 17:59:58.968,,4.45,
05/10/2023 17:58:46.036,15.8,,
05/10/2023 17:49:58.968,,4.45,
05/10/2023 17:48:46.036,15.8,,
05/10/2023 17:39:58.968,,4.45,
05/10/2023 17:38:46.036,15.8,,
05/10/2023 17:38:33.155,15.7,,
05/10/2023 17:29:58.968,,4.45,
05/10/2023 17:28:33.155,15.7,,
05/10/2023 17:19:58.968,,4.45,
05/10/2023 17:18:33.155,15.7,,
05/10/2023 17:09:58.968,,4.45,
05/10/2023 17:08:33.155,15.7,,
05/10/2023 16:59:58.968,,4.45,
05/10/2023 16:58:33.155,15.7,,
05/10/2023 16:49:58.968,,4.45,
05/10/2023 16:48:33.155,15.7,,
05/10/2023 16:39:58.968,,4.45,
05/10/2023 16:38:33.155,15.7,,
05/10/2023 16:30:10.196,,,1.2524
05/10/2023 16:29:58.968,,4.45,
05/10/2023 16:28:33.155,15.7,,
05/10/2023 16:23:53.857,,,1.0459
05/10/2023 16:20:51.809,,,1.252
05/10/2023 16:19:58.968,,4.45,
05/10/2023 16:18:33.155,15.7,,
05/10/2023 16:09:58.968,,4.45,
05/10/2023 16:08:33.155,15.7,,
05/10/2023 15:59:58.968,,4.45,
05/10/2023 15:58:33.155,15.7,,
05/10/2023 15:51:22.219,,,1.2524
05/10/2023 15:49:58.968,,4.45,
05/10/2023 15:48:33.155,15.7,,
05/10/2023 15:41:06.567,,,1.0015
05/10/2023 15:39:58.968,,4.45,
05/10/2023 15:38:33.155,15.7,,
05/10/2023 15:38:04.553,,,1.2531
05/10/2023 15:32:09.662,15,,
05/10/2023 15:29:58.968,,4.45,
05/10/2023 15:27:50.972,,,1.2538
05/10/2023 15:22:09.662,15,,
05/10/2023 15:19:58.968,,4.45,
05/10/2023 15:17:06.973,,,1.0214
05/10/2023 15:12:09.662,15,,
05/10/2023 15:09:58.968,,4.45,
05/10/2023 15:08:38.114,,,1.2526
05/10/2023 15:02:09.662,15,,
05/10/2023 14:59:58.968,,4.45,
05/10/2023 14:57:39.903,,,1.0159
05/10/2023 14:52:09.662,15,,
05/10/2023 14:49:58.968,,4.45,
05/10/2023 14:48:31.670,,,1.2561
05/10/2023 14:45:28.547,,,1.2508
05/10/2023 14:42:09.662,15,,
05/10/2023 14:41:31.271,,,1.2541
05/10/2023 14:39:58.968,,4.45,
05/10/2023 14:32:09.662,15,,
05/10/2023 14:29:58.968,,4.45,
05/10/2023 14:25:15.684,,,1.2511
05/10/2023 14:22:09.662,15,,
05/10/2023 14:21:59.949,14.9,,
05/10/2023 14:19:58.968,,4.45,
05/10/2023 14:11:59.949,14.9,,
05/10/2023 14:10:07.442,,,1.2515
05/10/2023 14:09:58.968,,4.45,
05/10/2023 14:01:59.949,14.9,,
05/10/2023 13:59:58.968,,4.45,
05/10/2023 13:58:42.360,,,1.2539
05/10/2023 13:53:49.782,,,1.0361
05/10/2023 13:51:59.949,14.9,,
05/10/2023 13:50:45.730,,,1.2496
05/10/2023 13:49:58.968,,4.45,
05/10/2023 13:41:59.949,14.9,,
05/10/2023 13:39:58.968,,4.45,
05/10/2023 13:39:40.294,,,1.2526
05/10/2023 13:31:59.949,14.9,,
05/10/2023 13:29:58.968,,4.45,
05/10/2023 13:21:59.949,14.9,,
05/10/2023 13:19:58.968,,4.45,
05/10/2023 13:18:21.236,,,1.2537
05/10/2023 13:11:59.949,14.9,,
05/10/2023 13:09:58.968,,4.45,
05/10/2023 13:07:32.296,,,1.0293
05/10/2023 13:02:06.829,,,1
05/10/2023 13:01:59.949,14.9,,
05/10/2023 12:59:58.968,,4.45,
05/10/2023 12:51:59.949,14.9,,
05/10/2023 12:51:59.694,,,1.2546
05/10/2023 12:49:58.968,,4.45,
05/10/2023 12:41:59.949,14.9,,
05/10/2023 12:39:58.968,,4.45,
05/10/2023 12:38:06.259,,,1.2541
05/10/2023 12:31:59.949,14.9,,
05/10/2023 12:29:58.968,,4.45,
05/10/2023 12:21:59.949,14.9,,
05/10/2023 12:19:58.968,,4.45,
05/10/2023 12:11:59.949,14.9,,
05/10/2023 12:09:58.968,,4.45,
05/10/2023 12:01:59.949,14.9,,
05/10/2023 11:59:58.968,,4.45,
05/10/2023 11:52:36.058,,,1.2496
05/10/2023 11:51:59.949,14.9,,
05/10/2023 11:49:58.968,,4.45,
05/10/2023 11:41:59.949,14.9,,
05/10/2023 11:39:58.968,,4.45,
05/10/2023 11:37:29.950,,,1.249
05/10/2023 11:31:59.949,14.9,,
05/10/2023 11:29:58.968,,4.45,
05/10/2023 11:27:57.350,15.5,,
05/10/2023 11:19:58.968,,4.45,
05/10/2023 11:17:57.350,15.5,,
05/10/2023 11:09:58.968,,4.45,
05/10/2023 11:07:57.350,15.5,,
05/10/2023 10:59:58.968,,4.45,
05/10/2023 10:57:57.350,15.5,,
05/10/2023 10:51:46.103,,,1.2303
05/10/2023 10:49:58.968,,4.45,
05/10/2023 10:48:23.666,,,1.2336
05/10/2023 10:47:57.350,15.5,,
05/10/2023 10:46:57.810,,,1.0073
05/10/2023 10:43:56.892,,,1.2357
05/10/2023 10:39:58.968,,4.45,
05/10/2023 10:37:57.350,15.5,,
05/10/2023 10:37:51.046,,,1.234
05/10/2023 10:29:58.968,,4.45,
05/10/2023 10:27:57.350,15.5,,
05/10/2023 10:22:09.816,,,1.2435
05/10/2023 10:19:58.968,,4.45,
05/10/2023 10:17:57.350,15.5,,
05/10/2023 10:17:39.126,,,1.2463
05/10/2023 10:09:58.968,,4.45,
05/10/2023 10:07:57.350,15.5,,
05/10/2023 10:01:04.719,,,1.2512
05/10/2023 09:59:58.968,,4.45,
05/10/2023 09:57:57.350,15.5,,
