Time,\\pi3\LR09144901L%P2O5,\\pi3\MKP_LAB449SO4%,\\pi3\MKP_DT_40450
07/10/2023 16:19:14.063,,,1.2109
07/10/2023 16:17:14.491,,,1.217
07/10/2023 16:14:24.983,15.15,,
07/10/2023 16:09:58.968,,4.45,
07/10/2023 16:07:34.381,,,1.2131
07/10/2023 16:06:27.953,,,1.0232
07/10/2023 16:04:24.983,15.15,,
07/10/2023 15:59:58.968,,4.45,
07/10/2023 15:57:16.642,,,1.2015
07/10/2023 15:56:10.132,,,1.2026
07/10/2023 15:54:55.525,,,1.2053
07/10/2023 15:54:24.983,15.15,,
07/10/2023 15:49:58.968,,4.45,
07/10/2023 15:46:47.514,,,1.2071
07/10/2023 15:44:24.983,15.15,,
07/10/2023 15:39:58.968,,4.45,
07/10/2023 15:34:24.983,15.15,,
07/10/2023 15:29:58.968,,4.45,
07/10/2023 15:24:24.983,15.15,,
07/10/2023 15:19:58.968,,4.45,
07/10/2023 15:19:55.420,,,1.1965
07/10/2023 15:17:43.426,,,1.1991
07/10/2023 15:14:24.983,15.15,,
07/10/2023 15:09:58.968,,4.45,
07/10/2023 15:04:24.983,15.15,,
07/10/2023 14:59:58.968,,4.45,
07/10/2023 14:55:17.508,,,1.2064
07/10/2023 14:54:24.983,15.15,,
07/10/2023 14:53:52.636,,,1.2071
07/10/2023 14:49:58.968,,4.45,
07/10/2023 14:44:24.983,15.15,,
07/10/2023 14:43:18.328,,,1.2093
07/10/2023 14:40:08.261,,,1.0386
07/10/2023 14:39:58.968,,4.45,
07/10/2023 14:35:24.778,,,1
07/10/2023 14:34:24.983,15.15,,
07/10/2023 14:29:58.968,,4.45,
07/10/2023 14:24:24.983,15.15,,
07/10/2023 14:19:58.968,,4.45,
07/10/2023 14:14:24.983,15.15,,
07/10/2023 14:09:58.968,,4.45,
07/10/2023 14:04:24.983,15.15,,
07/10/2023 13:59:58.968,,4.45,
07/10/2023 13:54:24.983,15.15,,
07/10/2023 13:49:58.968,,4.45,
07/10/2023 13:44:24.983,15.15,,
07/10/2023 13:39:58.968,,4.45,
07/10/2023 13:34:24.983,15.15,,
07/10/2023 13:29:58.968,,4.45,
07/10/2023 13:24:24.983,15.15,,
07/10/2023 13:19:58.968,,4.45,
07/10/2023 13:14:24.983,15.15,,
07/10/2023 13:09:58.968,,4.45,
07/10/2023 13:04:24.983,15.15,,
07/10/2023 12:59:58.968,,4.45,
07/10/2023 12:54:24.983,15.15,,
07/10/2023 12:49:58.968,,4.45,
07/10/2023 12:44:24.983,15.15,,
07/10/2023 12:39:58.968,,4.45,
07/10/2023 12:34:24.983,15.15,,
07/10/2023 12:29:58.968,,4.45,
07/10/2023 12:24:24.983,15.15,,
07/10/2023 12:19:58.968,,4.45,
07/10/2023 12:14:24.983,15.15,,
07/10/2023 12:09:58.968,,4.45,
07/10/2023 12:04:24.983,15.15,,
07/10/2023 11:59:58.968,,4.45,
07/10/2023 11:54:24.983,15.15,,
07/10/2023 11:49:58.968,,4.45,
07/10/2023 11:44:24.983,15.15,,
07/10/2023 11:39:58.968,,4.45,
07/10/2023 11:34:24.983,15.15,,
07/10/2023 11:29:58.968,,4.45,
07/10/2023 11:24:24.983,15.15,,
07/10/2023 11:19:58.968,,4.45,
07/10/2023 11:14:24.983,15.15,,
07/10/2023 11:09:58.968,,4.45,
07/10/2023 11:04:24.983,15.15,,
07/10/2023 10:59:58.968,,4.45,
07/10/2023 10:55:24.778,,,1
07/10/2023 10:54:24.983,15.15,,
