Name,\\pi3\MKP_DT_40450
Data Type,Float 32
Number of Values,24505
Time,Value,Value Attributes
14-Mar-2023 04:57:23.93213,1.28
14-Mar-2023 04:52:31.1976,1.28
14-Mar-2023 04:48:47.70494,1.28
14-Mar-2023 04:42:57.24338,1.27
14-Mar-2023 04:39:30.05084,1.28
14-Mar-2023 04:34:29.23775,1.27
14-Mar-2023 04:33:26.14932,1.28
14-Mar-2023 04:26:16.15018,1.27
14-Mar-2023 04:21:50.88858,1.28
14-Mar-2023 04:17:38.69489,1.27
14-Mar-2023 04:13:26.91524,1.28
14-Mar-2023 04:08:56.7403,1.27
14-Mar-2023 04:04:12.68938,1.28
14-Mar-2023 03:59:25.35823,1.27
14-Mar-2023 03:54:55.33429,1.28
14-Mar-2023 03:50:37.56221,1.27
14-Mar-2023 03:46:53.3725,1.28
14-Mar-2023 03:44:24.71307,1.27
14-Mar-2023 03:40:06.57698,1.28
14-Mar-2023 03:35:08.91209,1.27
14-Mar-2023 03:27:16.65599,1.28
14-Mar-2023 03:23:40.75984,1.27
14-Mar-2023 03:22:09.03342,1.28
14-Mar-2023 03:13:24.31361,1.27
14-Mar-2023 03:08:46.35812,1.28
14-Mar-2023 03:07:35.00612,1.27
14-Mar-2023 02:58:34.80025,1.28
14-Mar-2023 02:57:25.39438,1.27
14-Mar-2023 02:48:19.73102,1.27
14-Mar-2023 02:44:28.68335,1.27
14-Mar-2023 02:40:05.81157,1.28
14-Mar-2023 02:37:40.14552,1.27
14-Mar-2023 02:33:33.65573,1.27
14-Mar-2023 02:24:41.436,1.27
14-Mar-2023 02:20:23.56598,1.28
14-Mar-2023 02:19:08.12169,1.27
14-Mar-2023 02:09:45.12721,1.27
14-Mar-2023 02:04:58.01108,1.27
14-Mar-2023 02:00:19.92259,1.28
14-Mar-2023 01:58:59.49994,1.27
14-Mar-2023 01:54:18.52824,1.27
14-Mar-2023 01:48:33.23003,1.27
14-Mar-2023 01:42:33.87083,1.27
14-Mar-2023 01:34:44.36191,1.27
14-Mar-2023 01:30:13.70694,1.28
14-Mar-2023 01:29:05.43115,1.27
14-Mar-2023 01:24:29.37279,1.27
14-Mar-2023 01:19:23.41434,1.27
14-Mar-2023 01:15:12.45174,1.27
14-Mar-2023 01:06:43.35204,1.27
14-Mar-2023 01:02:40.20898,1.27
14-Mar-2023 01:00:46.04999,1.27
14-Mar-2023 00:56:44.66606,1.27
14-Mar-2023 00:51:51.17348,1.27
14-Mar-2023 00:48:03.81152,1.27
14-Mar-2023 00:42:46.94832,1.27
14-Mar-2023 00:38:08.5508,1.27
14-Mar-2023 00:33:09.1188,1.27
14-Mar-2023 00:28:39.06888,1.27
14-Mar-2023 00:24:13.01422,1.27
14-Mar-2023 00:20:40.84734,1.27
14-Mar-2023 00:12:56.61678,1.27
14-Mar-2023 00:11:36.96719,1.27
14-Mar-2023 00:06:55.69948,1.27
14-Mar-2023 00:00:06.45178,1.27
13-Mar-2023 23:58:46.10315,1.27
13-Mar-2023 23:55:36.46886,1.27
13-Mar-2023 23:48:03.82613,1.27
13-Mar-2023 23:46:28.07042,1.27
13-Mar-2023 23:42:36.72319,1.27
13-Mar-2023 23:38:04.05409,1.27
13-Mar-2023 23:32:24.61728,1.26
13-Mar-2023 23:31:12.03119,1.27
13-Mar-2023 23:15:19.13341,1.26
13-Mar-2023 23:06:37.14783,1.26
13-Mar-2023 23:03:42.82961,1.03
13-Mar-2023 22:55:38.35263,1.26
13-Mar-2023 22:50:34.27031,1.25
13-Mar-2023 22:42:54.07904,1.24
13-Mar-2023 22:38:02.99461,1.24
13-Mar-2023 22:34:44.66272,1.24
13-Mar-2023 22:23:33.89667,1.23
13-Mar-2023 22:15:08.0822,1.22
13-Mar-2023 21:59:14.86943,1.21
13-Mar-2023 21:50:39.18719,1.20
13-Mar-2023 21:48:30.7822,1.22
13-Mar-2023 21:47:01.1039,1.07
13-Mar-2023 21:45:40.51726,1.19
13-Mar-2023 21:44:31.24139,1.22
13-Mar-2023 21:42:36.19232,1.19
13-Mar-2023 21:37:37.7524,1.18
13-Mar-2023 21:34:53.8419,1.19
13-Mar-2023 21:29:13.56705,1.18
13-Mar-2023 21:22:20.09904,1.18
13-Mar-2023 21:20:14.80026,1.17
13-Mar-2023 21:15:42.96419,1.16
13-Mar-2023 21:04:55.34477,1.17
13-Mar-2023 21:02:51.02705,1.16
13-Mar-2023 21:00:31.46527,1.16
13-Mar-2023 20:59:31.36305,1.06
13-Mar-2023 20:58:29.2267,1.06
13-Mar-2023 20:57:03.67369,1.07
13-Mar-2023 20:55:57.21504,1.08
13-Mar-2023 20:53:23.33025,1.09
13-Mar-2023 20:52:23.23804,1.23
13-Mar-2023 20:51:21.08067,1.24
13-Mar-2023 20:49:49.39525,1.21
13-Mar-2023 20:48:30.16269,1.24
13-Mar-2023 20:46:31.8764,1.24
13-Mar-2023 20:45:21.64748,1.21
13-Mar-2023 20:44:11.39755,1.21
13-Mar-2023 20:42:44.73347,1.20
13-Mar-2023 20:36:43.85616,1.21
13-Mar-2023 20:35:31.51208,1.16
13-Mar-2023 20:33:39.36522,1.17
13-Mar-2023 20:32:37.08986,1.21
13-Mar-2023 20:30:13.32378,1.21
13-Mar-2023 20:27:01.48633,1.20
13-Mar-2023 20:26:00.30304,1.14
13-Mar-2023 20:24:11.09738,1.18
13-Mar-2023 20:23:05.8318,1.19
13-Mar-2023 20:20:42.08572,1.20
13-Mar-2023 20:19:08.25514,1.20
13-Mar-2023 20:17:49.85364,1.21
13-Mar-2023 20:16:46.54921,1.16
13-Mar-2023 20:15:20.85519,1.16
13-Mar-2023 20:14:10.62727,1.20
13-Mar-2023 20:13:08.60393,1.22
13-Mar-2023 20:12:08.47371,1.22
13-Mar-2023 20:10:12.23557,1.23
13-Mar-2023 20:01:51.06941,1.21
13-Mar-2023 20:00:31.67184,1.20
13-Mar-2023 19:51:07.7753,1.19
13-Mar-2023 19:48:18.57043,1.18
13-Mar-2023 19:40:45.9917,1.18
13-Mar-2023 19:38:53.99084,1.16
13-Mar-2023 19:37:28.35884,1.16
13-Mar-2023 19:36:13.01656,1.18
13-Mar-2023 19:30:06.79387,1.18
13-Mar-2023 19:22:16.5589,1.18
13-Mar-2023 19:21:13.33047,1.18
13-Mar-2023 19:14:23.42673,1.18
13-Mar-2023 19:11:21.00793,1.16
13-Mar-2023 19:09:13.74402,1.17
13-Mar-2023 19:08:11.51666,1.19
13-Mar-2023 18:59:07.64352,1.19
13-Mar-2023 18:58:06.47925,1.19
13-Mar-2023 18:43:50.75824,1.19
13-Mar-2023 18:38:08.63426,1.19
13-Mar-2023 18:34:21.37633,1.18
13-Mar-2023 18:32:28.1714,1.18
13-Mar-2023 18:31:07.67874,1.15
13-Mar-2023 18:29:48.17517,1.14
13-Mar-2023 18:28:47.99095,1.17
13-Mar-2023 18:27:24.4771,1.17
13-Mar-2023 18:25:48.57837,1.17
13-Mar-2023 18:22:40.6842,1.17
13-Mar-2023 18:21:40.57399,1.24
13-Mar-2023 18:12:01.96144,1.24
13-Mar-2023 18:10:58.679,1.21
13-Mar-2023 18:04:19.11299,1.20
13-Mar-2023 18:00:44.96898,1.18
13-Mar-2023 17:56:03.42526,1.18
13-Mar-2023 17:55:03.34006,1.15
13-Mar-2023 17:53:39.73819,1.15
13-Mar-2023 17:52:19.21754,1.17
13-Mar-2023 17:51:16.02611,1.18
13-Mar-2023 17:50:15.9019,1.18
13-Mar-2023 17:48:51.42397,1.18
13-Mar-2023 17:45:33.67354,1.18
13-Mar-2023 17:42:05.73589,1.18
13-Mar-2023 17:37:02.95755,1.18
13-Mar-2023 17:34:23.83461,1.17
13-Mar-2023 17:31:57.14252,1.18
13-Mar-2023 17:28:08.40118,1.18
13-Mar-2023 17:26:45.96819,1.18
13-Mar-2023 17:25:36.76099,1.18
13-Mar-2023 17:24:19.38515,1.18
13-Mar-2023 17:23:19.27312,1.18
13-Mar-2023 17:22:18.33345,1.19
13-Mar-2023 17:21:18.23119,1.19
13-Mar-2023 17:20:18.073,1.18
13-Mar-2023 17:19:11.92047,1.18
13-Mar-2023 17:18:09.73854,1.18
13-Mar-2023 17:15:44.22102,1.17
13-Mar-2023 17:13:41.96245,1.18
13-Mar-2023 17:07:47.6666,1.18
13-Mar-2023 17:04:39.34039,1.17
13-Mar-2023 17:03:25.92824,1.17
13-Mar-2023 17:01:38.05467,1.18
13-Mar-2023 16:56:24.41469,1.19
13-Mar-2023 16:54:27.26447,1.18
13-Mar-2023 16:53:02.80254,1.18
13-Mar-2023 16:51:17.97119,1.18
13-Mar-2023 16:48:56.33826,1.19
13-Mar-2023 16:43:08.80888,1.21
13-Mar-2023 16:42:02.59224,1.19
13-Mar-2023 16:40:42.12961,1.19
13-Mar-2023 16:31:30.2729,1.18
13-Mar-2023 16:30:09.81027,1.18
13-Mar-2023 16:29:02.22954,1.18
13-Mar-2023 16:27:52.93867,1.20
13-Mar-2023 16:26:49.68724,1.19
13-Mar-2023 16:25:42.51453,1.19
13-Mar-2023 16:24:33.01865,1.19
13-Mar-2023 16:22:03.05214,1.20
13-Mar-2023 16:20:47.65285,1.19
13-Mar-2023 16:19:47.55263,1.19
13-Mar-2023 16:09:20.34164,1.19
13-Mar-2023 16:00:34.8038,1.19
13-Mar-2023 15:48:22.66846,1.19
13-Mar-2023 15:45:33.5836,1.19
13-Mar-2023 15:44:32.30031,1.19
13-Mar-2023 15:28:31.32391,1.19
13-Mar-2023 15:25:29.9232,1.18
13-Mar-2023 15:20:44.7572,1.18
13-Mar-2023 15:19:41.68578,1.19
13-Mar-2023 15:18:03.94994,1.19
13-Mar-2023 15:16:40.38206,1.16
13-Mar-2023 15:12:52.28607,1.16
13-Mar-2023 15:11:50.19072,1.16
13-Mar-2023 15:09:34.67223,1.25
13-Mar-2023 15:08:30.60172,1.17
13-Mar-2023 15:07:30.4745,1.18
13-Mar-2023 15:06:09.99486,1.17
13-Mar-2023 15:03:07.63507,1.18
13-Mar-2023 15:00:22.39449,1.19
13-Mar-2023 14:59:05.88312,1.20
13-Mar-2023 14:57:56.44325,1.23
13-Mar-2023 14:56:50.21661,1.28
13-Mar-2023 14:54:35.57317,1.28
13-Mar-2023 14:51:15.37314,1.26
13-Mar-2023 14:50:15.11491,1.14
13-Mar-2023 14:49:14.87268,1.01
13-Mar-2023 14:42:10.52493,1.29
13-Mar-2023 14:39:13.2645,1.29
13-Mar-2023 14:32:24.60886,1.29
13-Mar-2023 11:40:31.25876,1.29
13-Mar-2023 11:10:40.7782,1.29
13-Mar-2023 10:29:10.52258,1.30
13-Mar-2023 10:26:46.85851,1.31
13-Mar-2023 10:23:21.70612,1.30
13-Mar-2023 10:22:21.57791,1.31
