Name,\\pi3\MKP_DT_40450,
Data Type,Float 32,
Number of Values,25401,
Time,Value,Value Attributes
11/12/2022 04:19:43.38,1.2859,
11/12/2022 04:16:55.15,1.2813,
11/12/2022 04:15:42.84,1.2905,
11/12/2022 04:08:30.84,1.2876,
11/12/2022 04:04:15.06,1.2924,
11/12/2022 04:01:23.88,1.0377,
11/12/2022 03:58:21.29,1.2914,
11/12/2022 03:57:09.99,1.2907,
11/12/2022 03:55:49.46,1.2842,
11/12/2022 03:54:06.48,1.2778,
11/12/2022 03:52:29.65,1.2872,
11/12/2022 03:50:20.13,1.292,
11/12/2022 03:47:37.03,1.2872,
11/12/2022 03:46:29.77,1.1362,
11/12/2022 03:43:26.37,1.2907,
11/12/2022 03:40:49.48,1.2896,
11/12/2022 03:39:24.87,1.2834,
11/12/2022 03:36:36.71,1.2885,
11/12/2022 03:31:32.11,1.2884,
11/12/2022 03:28:53.21,1.286,
11/12/2022 03:21:25.89,1.2887,
11/12/2022 03:18:12.16,1.2794,
11/12/2022 03:17:00.86,1.2892,
11/12/2022 03:11:31.88,1.286,
11/12/2022 03:09:08.14,1.2878,
11/12/2022 03:03:22.69,1.2895,
11/12/2022 03:01:54.00,1.2849,
11/12/2022 02:59:09.88,1.2773,
11/12/2022 02:57:54.44,1.2871,
11/12/2022 02:53:37.68,1.2889,
11/12/2022 02:51:59.89,1.2825,
11/12/2022 02:49:03.64,1.2857,
11/12/2022 02:45:02.19,1.2891,
11/12/2022 02:43:01.87,1.2829,
11/12/2022 02:40:06.62,1.2866,
11/12/2022 02:35:07.02,1.2881,
11/12/2022 02:31:47.35,1.2787,
11/12/2022 02:30:33.05,1.2849,
11/12/2022 02:25:13.25,1.2875,
11/12/2022 02:23:21.22,1.2814,
11/12/2022 02:20:57.58,1.2846,
11/12/2022 02:17:31.67,1.2884,
11/12/2022 02:14:59.71,1.2836,
11/12/2022 02:12:39.12,1.2852,
11/12/2022 02:10:31.68,1.2886,
11/12/2022 02:06:35.34,1.2824,
11/12/2022 02:03:58.45,1.2763,
11/12/2022 02:02:57.34,1.2842,
11/12/2022 01:58:31.38,1.2883,
11/12/2022 01:56:42.35,1.2817,
11/12/2022 01:53:26.73,1.2853,
11/12/2022 01:49:24.21,1.2889,
11/12/2022 01:44:59.24,1.2764,
11/12/2022 01:43:24.53,1.2881,
11/12/2022 01:39:28.22,1.2881,
11/12/2022 01:37:27.89,1.2788,
11/12/2022 01:34:33.69,1.2858,
11/12/2022 01:32:27.28,1.2897,
11/12/2022 01:27:11.40,1.2806,
11/12/2022 01:26:02.13,1.2867,
11/12/2022 01:21:57.49,1.2885,
11/12/2022 01:18:58.02,1.2792,
11/12/2022 01:16:56.77,1.2865,
11/12/2022 01:14:13.67,1.2895,
11/12/2022 01:12:08.36,1.2849,
11/12/2022 01:09:24.15,1.28,
11/12/2022 01:08:17.90,1.2888,
11/12/2022 01:01:57.96,1.2857,
11/12/2022 00:59:59.77,1.281,
11/12/2022 00:57:50.30,1.2859,
11/12/2022 00:55:57.16,1.2901,
11/12/2022 00:49:16.76,1.2823,
11/12/2022 00:47:42.05,1.2871,
11/12/2022 00:45:09.24,1.2906,
11/12/2022 00:42:47.62,1.286,
11/12/2022 00:39:12.69,1.2908,
11/12/2022 00:35:14.20,1.0449,
11/12/2022 00:32:10.81,1.2829,
11/12/2022 00:30:03.48,1.2879,
11/12/2022 00:27:00.02,1.2896,
11/12/2022 00:25:10.99,1.2802,
11/12/2022 00:22:11.74,1.2867,
11/12/2022 00:19:11.39,1.2907,
11/12/2022 00:17:03.97,1.2845,
11/12/2022 00:14:09.74,1.2879,
11/12/2022 00:10:55.12,1.2916,
11/12/2022 00:06:25.18,1.2808,
11/12/2022 00:04:28.04,1.2879,
11/12/2022 00:02:11.48,1.2921,
10/12/2022 23:57:30.18,1.2829,
10/12/2022 23:55:33.96,1.2878,
10/12/2022 23:51:39.69,1.2914,
10/12/2022 23:48:55.70,1.2836,
10/12/2022 23:45:42.14,1.2889,
10/12/2022 23:41:13.14,1.2907,
10/12/2022 23:38:06.73,1.2828,
10/12/2022 23:36:19.73,1.2885,
10/12/2022 23:31:31.23,1.2902,
10/12/2022 23:30:07.64,1.2839,
10/12/2022 23:27:44.00,1.2888,
10/12/2022 23:23:25.30,1.2903,
10/12/2022 23:22:09.87,1.2856,
