Name,\\rotem3\FIC-40425
Data Type,Float 32
Number of Values,50407
Time,Value,Value Attributes
31-Dec-2022 04:08:13.50551,33.948
31-Dec-2022 04:06:51.95879,33.916
31-Dec-2022 04:05:48.79236,33.182
31-Dec-2022 04:04:47.64607,34.148
31-Dec-2022 04:03:47.56383,33.923
31-Dec-2022 04:02:45.40588,33.121
31-Dec-2022 04:01:45.29514,34.808
31-Dec-2022 04:00:44.14828,33.228
31-Dec-2022 03:59:11.57269,33.659
31-Dec-2022 03:58:11.49425,35.188
31-Dec-2022 03:57:09.32552,33.325
31-Dec-2022 03:47:36.65527,33.59
31-Dec-2022 03:46:34.49431,35.793
31-Dec-2022 03:45:34.31747,32.67
31-Dec-2022 03:44:21.95688,33.304
31-Dec-2022 03:40:06.21259,33.178
31-Dec-2022 03:38:13.93144,33.858
31-Dec-2022 03:32:40.82623,33.635
31-Dec-2022 03:31:36.58614,33.473
31-Dec-2022 03:30:19.0712,33.62
31-Dec-2022 03:27:16.66559,34.002
31-Dec-2022 03:24:24.3356,34.019
31-Dec-2022 03:22:52.50777,34.465
31-Dec-2022 03:21:52.32692,33.257
31-Dec-2022 03:20:40.93938,33.742
31-Dec-2022 03:19:30.4969,33.678
31-Dec-2022 03:18:07.86864,33.259
31-Dec-2022 03:15:13.48853,33.229
31-Dec-2022 03:14:13.27069,33.837
31-Dec-2022 03:12:35.33044,34.293
31-Dec-2022 03:11:11.58511,33.696
31-Dec-2022 03:10:05.18689,34.511
31-Dec-2022 03:09:04.95905,33.305
31-Dec-2022 03:06:39.86182,33.416
31-Dec-2022 03:04:39.54614,33.293
31-Dec-2022 03:03:39.44432,33.088
31-Dec-2022 03:02:20.98633,34.152
31-Dec-2022 03:01:19.83643,32.96
31-Dec-2022 02:55:04.72154,33.899
31-Dec-2022 02:53:53.39799,33.899
31-Dec-2022 02:51:01.12802,34.147
31-Dec-2022 02:48:53.66791,33.867
31-Dec-2022 02:47:53.46407,33.714
31-Dec-2022 02:42:44.6174,33.263
31-Dec-2022 02:41:16.83881,35.477
31-Dec-2022 02:40:15.64191,28.025
31-Dec-2022 02:39:14.42201,33.322
31-Dec-2022 02:37:17.06953,33.045
31-Dec-2022 02:36:16.88071,34.549
31-Dec-2022 02:35:13.67767,33.153
31-Dec-2022 02:33:35.87445,33.847
31-Dec-2022 02:31:55.03102,34.07
31-Dec-2022 02:30:38.66216,33.994
31-Dec-2022 02:29:37.55327,33.409
31-Dec-2022 02:26:51.5217,33.961
31-Dec-2022 02:25:45.29848,33.546
31-Dec-2022 02:23:23.61745,33.303
31-Dec-2022 02:20:08.92406,33.431
31-Dec-2022 02:18:51.44112,33.391
31-Dec-2022 02:15:11.2961,33.956
31-Dec-2022 02:14:00.98161,33.539
31-Dec-2022 02:11:46.51105,33.042
31-Dec-2022 02:10:46.40622,32.688
31-Dec-2022 02:09:17.78658,33.33
31-Dec-2022 02:08:15.62363,34.017
31-Dec-2022 02:07:15.47578,31.718
31-Dec-2022 02:06:05.23831,32.299
31-Dec-2022 02:05:05.09549,34.147
31-Dec-2022 02:04:01.94046,32.126
31-Dec-2022 02:02:26.12636,32.29
31-Dec-2022 02:01:20.85321,39.457
31-Dec-2022 02:00:20.72438,32.557
31-Dec-2022 01:55:33.29807,32.77
31-Dec-2022 01:54:32.19618,32.033
31-Dec-2022 01:53:32.03934,32.859
31-Dec-2022 01:52:32.02151,32.227
31-Dec-2022 01:51:29.82556,32.357
31-Dec-2022 01:50:29.70573,31.399
31-Dec-2022 01:49:27.53278,33.331
31-Dec-2022 01:48:27.41295,33.884
31-Dec-2022 01:47:26.35706,32.741
31-Dec-2022 01:46:26.24922,32.29
31-Dec-2022 01:45:25.18233,33.047
31-Dec-2022 01:44:25.06551,32.235
31-Dec-2022 01:42:58.50999,32.87
31-Dec-2022 01:41:53.27884,33.459
31-Dec-2022 01:40:52.16695,31.834
31-Dec-2022 01:39:50.99905,31.982
31-Dec-2022 01:38:40.70058,31.608
31-Dec-2022 01:37:40.54274,34.731
31-Dec-2022 01:36:39.39685,32.753
31-Dec-2022 01:35:38.27095,34.203
31-Dec-2022 01:34:36.114,34.527
31-Dec-2022 01:33:36.06216,32.262
31-Dec-2022 01:32:31.99509,32.978
31-Dec-2022 01:30:00.24142,32.363
31-Dec-2022 01:28:59.04852,32.791
31-Dec-2022 01:27:57.95663,32.794
31-Dec-2022 01:26:57.7868,31.68
31-Dec-2022 01:25:57.60696,32.442
31-Dec-2022 01:24:56.46307,34.051
31-Dec-2022 01:23:56.39125,32.675
31-Dec-2022 01:22:56.27742,32.168
31-Dec-2022 01:21:56.0956,32.939
31-Dec-2022 01:20:55.92476,33.646
31-Dec-2022 01:19:54.77086,32.043
31-Dec-2022 01:18:54.67903,32.813
31-Dec-2022 01:16:52.26523,33.231
31-Dec-2022 01:15:52.1414,32.594
31-Dec-2022 01:14:46.90125,32.948
31-Dec-2022 01:13:12.13321,33.053
31-Dec-2022 01:12:08.88719,33.443
31-Dec-2022 01:11:08.70735,30.067
31-Dec-2022 01:10:08.54253,35.01
31-Dec-2022 01:09:07.39363,35.162
31-Dec-2022 01:08:07.2538,33.293
31-Dec-2022 01:07:07.09497,34.846
31-Dec-2022 01:06:04.90901,35.262
31-Dec-2022 01:05:01.67097,34.059
31-Dec-2022 01:03:19.71252,34.128
31-Dec-2022 01:02:19.61566,34.084
31-Dec-2022 01:00:53.94521,35.238
31-Dec-2022 00:59:52.80431,34.201
31-Dec-2022 00:58:46.49608,34.552
31-Dec-2022 00:57:46.33826,34.871
31-Dec-2022 00:56:06.40988,33.386
31-Dec-2022 00:55:05.27299,33.668
31-Dec-2022 00:54:00.03084,35.145
31-Dec-2022 00:52:58.91794,34.307
31-Dec-2022 00:51:58.78711,34.167
31-Dec-2022 00:48:28.70874,33.929
31-Dec-2022 00:46:34.56947,33.683
31-Dec-2022 00:45:34.41463,33.997
31-Dec-2022 00:44:04.74593,34.934
31-Dec-2022 00:42:58.52771,34.313
31-Dec-2022 00:40:49.22147,33.839
31-Dec-2022 00:37:22.41629,34.111
31-Dec-2022 00:35:14.03912,34.21
31-Dec-2022 00:34:06.82384,33.998
31-Dec-2022 00:32:47.31177,35.083
31-Dec-2022 00:31:31.82297,34.963
31-Dec-2022 00:30:27.60287,33.596
31-Dec-2022 00:29:26.45598,34.163
31-Dec-2022 00:28:26.28615,34.997
31-Dec-2022 00:26:47.48386,33.235
31-Dec-2022 00:25:01.4201,34.684
31-Dec-2022 00:23:39.85191,34.94
31-Dec-2022 00:22:25.45016,34.302
31-Dec-2022 00:20:15.02893,33.866
31-Dec-2022 00:18:43.33502,34.553
31-Dec-2022 00:16:31.83466,34.718
31-Dec-2022 00:14:39.59056,34.656
31-Dec-2022 00:13:44.47398,34.226
31-Dec-2022 00:11:25.60414,34.563
31-Dec-2022 00:10:25.38631,32.424
31-Dec-2022 00:08:27.97983,34.182
31-Dec-2022 00:07:27.717,32.993
31-Dec-2022 00:06:26.33708,33.598
31-Dec-2022 00:05:26.03624,33.313
31-Dec-2022 00:03:59.22371,33.018
31-Dec-2022 00:02:58.90187,32.53
31-Dec-2022 00:01:53.52971,34.513
31-Dec-2022 00:00:53.31987,34.54
30-Dec-2022 23:59:53.10103,32.017
30-Dec-2022 23:58:52.9722,34.201
30-Dec-2022 23:57:52.82037,33.391
30-Dec-2022 23:56:52.73854,33.153
30-Dec-2022 23:55:52.52971,33.934
30-Dec-2022 23:54:21.82494,32.462
30-Dec-2022 23:53:10.47539,34.069
30-Dec-2022 23:51:40.77568,33.338
30-Dec-2022 23:50:37.58965,32.93
30-Dec-2022 23:49:37.51483,35.54
30-Dec-2022 23:48:37.44099,34.295
30-Dec-2022 23:47:34.23798,32.696
30-Dec-2022 23:46:34.14415,34.635
30-Dec-2022 23:45:33.93532,33.336
30-Dec-2022 23:44:25.59496,33.374
30-Dec-2022 23:43:07.16896,33.764
30-Dec-2022 23:42:07.01514,33.977
30-Dec-2022 23:38:11.43913,33.824
30-Dec-2022 23:37:01.11365,32.246
30-Dec-2022 23:36:01.05482,33.024
30-Dec-2022 23:34:46.65009,34.324
30-Dec-2022 23:33:46.52226,33.538
30-Dec-2022 23:32:46.42043,32.818
30-Dec-2022 23:31:44.27647,33.073
30-Dec-2022 23:30:44.15764,31.832
30-Dec-2022 23:29:39.93855,31.841
30-Dec-2022 23:28:37.67159,31.692
30-Dec-2022 23:27:37.52475,33.234
30-Dec-2022 23:26:12.91437,33.713
30-Dec-2022 23:24:28.99774,34.6
30-Dec-2022 23:23:28.85092,33.77
30-Dec-2022 23:22:28.62608,33.259
30-Dec-2022 23:15:33.75366,33.019
30-Dec-2022 23:14:33.65782,39.435
30-Dec-2022 23:13:32.45293,32.157
30-Dec-2022 23:12:32.3231,34.101
30-Dec-2022 23:11:29.15608,33.675
30-Dec-2022 23:09:46.15552,32.697
30-Dec-2022 23:08:45.93568,31.117
30-Dec-2022 23:07:45.80486,34.476
30-Dec-2022 23:06:45.71602,33.303
30-Dec-2022 23:05:44.52313,34.091
30-Dec-2022 23:04:34.24464,33.714
30-Dec-2022 23:03:34.12282,33.324
30-Dec-2022 23:01:22.62245,33.353
30-Dec-2022 22:59:22.28778,32.848
30-Dec-2022 22:58:22.17296,33.971
30-Dec-2022 22:56:16.83197,33.709
30-Dec-2022 22:52:07.10207,34.05
30-Dec-2022 22:49:37.38052,33.647
30-Dec-2022 22:45:56.11444,34.024
30-Dec-2022 22:44:22.25845,32.687
30-Dec-2022 22:40:49.88593,33.37
30-Dec-2022 22:39:00.87099,33.992
30-Dec-2022 22:37:32.23534,32.941
30-Dec-2022 22:36:32.07051,32.968
30-Dec-2022 22:32:30.49413,33.488
30-Dec-2022 22:30:35.43379,33.828
30-Dec-2022 22:27:38.24451,34.33
30-Dec-2022 22:26:38.17969,32.717
30-Dec-2022 22:23:21.63817,34.119
30-Dec-2022 22:22:14.40388,32.648
30-Dec-2022 22:19:23.28499,33.697
30-Dec-2022 22:15:07.7207,34.479
30-Dec-2022 22:14:07.64688,33.362
30-Dec-2022 22:11:19.59117,34.887
30-Dec-2022 22:10:18.48329,32.931
30-Dec-2022 22:08:14.25937,33.115
30-Dec-2022 22:06:44.59866,33.753
30-Dec-2022 22:04:21.93257,32.845
30-Dec-2022 22:00:44.97876,33.453
30-Dec-2022 21:58:11.17197,35.195
30-Dec-2022 21:57:08.02493,34.482
30-Dec-2022 21:50:34.71489,34.036
30-Dec-2022 21:49:02.00499,32.827
30-Dec-2022 21:48:01.86015,33.054
30-Dec-2022 21:45:10.71625,34.21
30-Dec-2022 21:43:46.19887,32.907
30-Dec-2022 21:35:26.00002,33.325
30-Dec-2022 21:33:34.92894,33.835
30-Dec-2022 21:27:31.34877,34.632
30-Dec-2022 21:26:30.27788,33.322
30-Dec-2022 21:24:18.94452,34.265
30-Dec-2022 21:23:18.86769,33.148
30-Dec-2022 21:17:49.84474,33.593
30-Dec-2022 21:15:26.20358,32.912
30-Dec-2022 21:13:05.64964,34.234
30-Dec-2022 21:11:46.22758,32.664
30-Dec-2022 21:10:46.07375,33.906
30-Dec-2022 21:02:26.78094,34.51
30-Dec-2022 21:01:01.94554,34.992
30-Dec-2022 21:00:01.47668,34.264
30-Dec-2022 20:54:54.81816,33.849
30-Dec-2022 20:53:05.90923,34.522
30-Dec-2022 20:37:16.94478,34.987
30-Dec-2022 20:36:16.89296,34.388
30-Dec-2022 20:32:05.47894,34.262
30-Dec-2022 20:31:05.38112,34.116
30-Dec-2022 20:28:22.48775,34.551
30-Dec-2022 20:25:30.49478,35.174
30-Dec-2022 20:17:11.54102,34.157
30-Dec-2022 20:14:03.19101,34.777
30-Dec-2022 20:13:03.08618,34.249
30-Dec-2022 20:11:58.81209,37.624
30-Dec-2022 20:10:58.63126,36.281
30-Dec-2022 20:09:57.42535,33.367
30-Dec-2022 20:08:57.18852,32.487
30-Dec-2022 20:07:47.7451,31.954
30-Dec-2022 20:06:46.4782,33.415
30-Dec-2022 20:05:46.18736,31.889
30-Dec-2022 20:00:55.15182,32.338
30-Dec-2022 19:58:12.13943,31.8
30-Dec-2022 19:48:26.64114,32.861
30-Dec-2022 19:44:31.44617,33.114
30-Dec-2022 19:43:31.37035,34.794
30-Dec-2022 19:42:31.31952,31.184
30-Dec-2022 19:41:31.24969,32.737
30-Dec-2022 19:40:31.23886,32.606
30-Dec-2022 19:39:31.18904,32.316
30-Dec-2022 19:36:36.1299,32.902
30-Dec-2022 19:33:23.72964,32.886
30-Dec-2022 19:32:22.64175,32.332
30-Dec-2022 19:30:44.81152,32.097
30-Dec-2022 19:29:33.49898,35.018
30-Dec-2022 19:28:33.45215,32.104
30-Dec-2022 19:27:33.31833,32.366
30-Dec-2022 19:26:17.97252,32.689
30-Dec-2022 19:24:36.12202,31.803
30-Dec-2022 19:23:36.0262,32.228
30-Dec-2022 19:22:34.95331,33.203
30-Dec-2022 19:21:34.9155,32.06
30-Dec-2022 19:20:16.5435,32.662
30-Dec-2022 19:19:13.47449,34.211
30-Dec-2022 19:18:12.38959,32.101
30-Dec-2022 19:17:12.34677,30.68
30-Dec-2022 19:16:11.30588,32.43
30-Dec-2022 19:14:42.69923,33.22
